"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"1419286000107,243,160,""CONCORRENTE"""
"16798400000124,3500,833,""SPC"""
"32148595000113,7441,1147,""CONCORRENTE"""
"7090500000100,1347,234,""SPC"""
"25894370000140,6462,1028,""SPC"""
"83854885000113,8841,,""CONCORRENTE"""
"4749448000163,988,178,""CONCORRENTE"""
"703945000170,109,157,""SPC"""
"23121758000183,5914,1021,""SPC"""
"23174947000114,5920,1021,""CONCORRENTE"""
"13772619000166,2754,703,""SPC"""
"27083510000126,6912,1047,""CONCORRENTE"""
"13086458000157,2641,655,""SPC"""
"31261320000129,7106,1110,""CONCORRENTE"""
"12895565000163,2587,642,""SPC"""
"25172717000141,6266,1028,""CONCORRENTE"""
"13885706000120,2754,706,""CONCORRENTE"""
"34267880000260,8104,1263,""CONCORRENTE"""
"31913706000178,7352,1142,""CONCORRENTE"""
"19951464000101,4511,857,""CONCORRENTE"""
"3265464000118,736,162,""CONCORRENTE"""
"2181937000136,474,162,""SPC"""
"30674054000101,7067,1094,""CONCORRENTE"""
"28792471000107,7043,1052,""CONCORRENTE"""
"24161125000161,6015,1028,""SPC"""
"32673025000142,7697,1156,""CONCORRENTE"""
"22624722000150,5537,1006,""SPC"""
"21794238000106,5136,939,""CONCORRENTE"""
"33490010000101,7965,1212,""SPC"""
"19485849000120,4347,851,""SPC"""
"10721035000173,2142,586,""CONCORRENTE"""
"17752621000124,3924,838,""SPC"""
"18261415000184,4052,843,""SPC"""
"15185665000194,3128,787,""SPC"""
"34707709000143,8294,1269,""CONCORRENTE"""
"15123311000115,3090,787,""CONCORRENTE"""
"22341094000103,5385,961,""CONCORRENTE"""
"21251732000124,4949,931,""SPC"""
"11244265000151,2174,586,""SPC"""
"31521138000160,7221,1113,""SPC"""
"8313812000107,1778,376,""CONCORRENTE"""
"30930711000126,7067,1097,""CONCORRENTE"""
"12320018000150,2361,602,""CONCORRENTE"""
"12061051000102,2298,602,""SPC"""
"32143942000115,7408,1147,""CONCORRENTE"""
"8066028000133,1778,376,""CONCORRENTE"""
"87711065000204,9899,,""SPC"""
"3151115000256,721,162,""SPC"""
"27097620000147,6912,1047,""CONCORRENTE"""
"13124820000137,2695,655,""CONCORRENTE"""
"12860559000170,2587,626,""CONCORRENTE"""
"1996280000100,455,162,""SPC"""
"3816303000175,988,166,""CONCORRENTE"""
"3115770000178,702,162,""CONCORRENTE"""
"8724191000146,1844,389,""CONCORRENTE"""
"14527880000163,2836,749,""CONCORRENTE"""
"27033555000196,6912,1047,""CONCORRENTE"""
"33663251000105,7994,1256,""SPC"""
"25479612000130,6303,1028,""SPC"""
"25252981000195,6268,1028,""CONCORRENTE"""
"562370000112,109,112,""CONCORRENTE"""
"34704847000179,8294,1267,""SPC"""
"97546911000150,15226,,""SPC"""
"2180500000188,473,162,""SPC"""
"23224190000126,5941,1024,""CONCORRENTE"""
"17603371000160,3844,838,""SPC"""
"7761580000189,1778,370,""CONCORRENTE"""
"5940027000188,1347,179,""SPC"""
"5636914000167,1247,178,""CONCORRENTE"""
"26088735000102,6710,1033,""SPC"""
"22400739000123,5389,961,""SPC"""
"25860157000118,6445,1028,""CONCORRENTE"""
"30163834000189,7043,1082,""CONCORRENTE"""
"10500523000150,2069,567,""SPC"""
"18100570000119,4048,843,""CONCORRENTE"""
"95080289000102,10097,,""SPC"""
"33280882000145,7925,1204,""CONCORRENTE"""
"32396487000160,7539,1153,""SPC"""
"17256512003484,3634,833,""CONCORRENTE"""
"29180516000147,7043,1062,""CONCORRENTE"""
"26669113000178,6873,1047,""SPC"""
"22172643000155,5367,951,""CONCORRENTE"""
"13348657000277,2754,657,""SPC"""
"33624896000139,7994,1256,""CONCORRENTE"""
"18087897000106,4047,842,""SPC"""
"16514696000295,3448,833,""SPC"""
"22802674000142,5721,1009,""SPC"""
"25916709000162,6532,1028,""CONCORRENTE"""
"26869763000167,6886,1047,""CONCORRENTE"""
"22533365000114,5445,999,""SPC"""
"14801884000198,2980,772,""SPC"""
"29162116000109,7043,1058,""SPC"""
"6784334000180,1347,226,""CONCORRENTE"""
"25909240000134,6472,1028,""SPC"""
"19271082000137,4331,846,""CONCORRENTE"""
"12645147000118,2566,621,""SPC"""
"22489200000192,5406,987,""SPC"""
"78345857000130,8770,,""SPC"""
"15580757000179,3300,823,""SPC"""
"19810927000115,4451,853,""SPC"""
"237301000133,16,48,""SPC"""
"11679788000120,2208,598,""CONCORRENTE"""
"4223099000141,988,178,""SPC"""
"10367447000157,2060,542,""SPC"""
"32733070000145,7710,1161,""CONCORRENTE"""
"25546844000163,6308,1028,""CONCORRENTE"""
"27131219000186,6927,1047,""CONCORRENTE"""
"16989685000180,3585,833,""SPC"""
"24071384000100,6015,1028,""SPC"""
