"ID_CIDADE,""DES_CIDADE"",""DES_SIGLA_ESTADO"",""DES_REGIAO_IBGE"""
"2300,""CAMPO LIMPO DE GOIAS"",""GO"",""CENTRO-OESTE"""
"10238,""CAMPO LINDO"",""GO"",""CENTRO-OESTE"""
"2115,""CAMPOLANDIA"",""GO"",""CENTRO-OESTE"""
"2116,""CAMPOS BELOS"",""GO"",""CENTRO-OESTE"""
"2117,""CAMPOS VERDES"",""GO"",""CENTRO-OESTE"""
"2118,""CANA BRAVA"",""GO"",""CENTRO-OESTE"""
"2119,""CANADA"",""GO"",""CENTRO-OESTE"""
"2120,""CAPELINHA"",""GO"",""CENTRO-OESTE"""
"2121,""CARAIBA"",""GO"",""CENTRO-OESTE"""
"2122,""CARMO DO RIO VERDE"",""GO"",""CENTRO-OESTE"""
"2123,""CASTELANDIA"",""GO"",""CENTRO-OESTE"""
"2124,""CASTRINOPOLIS"",""GO"",""CENTRO-OESTE"""
"2125,""CATALAO"",""GO"",""CENTRO-OESTE"""
"2126,""CATURAI"",""GO"",""CENTRO-OESTE"""
"2127,""CAVALCANTE"",""GO"",""CENTRO-OESTE"""
"2128,""CAVALHEIRO"",""GO"",""CENTRO-OESTE"""
"2129,""CEBRASA"",""GO"",""CENTRO-OESTE"""
"2130,""CERES"",""GO"",""CENTRO-OESTE"""
"2131,""CEZARINA"",""GO"",""CENTRO-OESTE"""
"2132,""CHAPADAO DO CEU"",""GO"",""CENTRO-OESTE"""
"2133,""CHOUPANA"",""GO"",""CENTRO-OESTE"""
"2134,""CIBELE"",""GO"",""CENTRO-OESTE"""
"2135,""CIDADE OCIDENTAL"",""GO"",""CENTRO-OESTE"""
"5455,""SERROLANDIA"",""PE"",""NORDESTE"""
"6064,""FAXINAL SANTA CRUZ"",""PR"",""SUL"""
"6065,""FAZENDA DO BRIGADEIRO"",""PR"",""SUL"""
"6066,""FAZENDA DOS BARBOSAS"",""PR"",""SUL"""
"6067,""FAZENDA JANGADA"",""PR"",""SUL"""
"6068,""FAZENDA RIO GRANDE"",""PR"",""SUL"""
"6069,""FAZENDA SALMO 23"",""PR"",""SUL"""
"6070,""FAZENDINHA"",""PR"",""SUL"""
"6071,""FELPUDO"",""PR"",""SUL"""
"6072,""FENIX"",""PR"",""SUL"""
"6073,""FERNANDES PINHEIRO"",""PR"",""SUL"""
"6074,""FERNAO DIAS"",""PR"",""SUL"""
"6075,""FERRARIA"",""PR"",""SUL"""
"6076,""FERREIRAS"",""PR"",""SUL"""
"6077,""FIGUEIRA"",""PR"",""SUL"""
"6078,""FIGUEIRA DO OESTE"",""PR"",""SUL"""
"6079,""FIUSAS"",""PR"",""SUL"""
"6080,""FLOR DA SERRA"",""PR"",""SUL"""
"6081,""FLOR DA SERRA DO SUL"",""PR"",""SUL"""
"6082,""FLORAI"",""PR"",""SUL"""
"6083,""FLORESTA"",""PR"",""SUL"""
"6084,""FLORESTOPOLIS"",""PR"",""SUL"""
"6085,""FLORIANO"",""PR"",""SUL"""
"6086,""FLORIDA"",""PR"",""SUL"""
"6087,""FLOROPOLIS"",""PR"",""SUL"""
"6088,""FLUVIOPOLIS"",""PR"",""SUL"""
"6089,""FORMIGONE"",""PR"",""SUL"""
"6090,""FORMOSA DO OESTE"",""PR"",""SUL"""
"6091,""FOZ DO IGUACU"",""PR"",""SUL"""
"6092,""FOZ DO JORDAO"",""PR"",""SUL"""
"6093,""FRANCISCO ALVES"",""PR"",""SUL"""
"6094,""FRANCISCO BELTRAO"",""PR"",""SUL"""
"6095,""FRANCISCO F T GUIMARAES"",""PR"",""SUL"""
"6096,""FREI TIMOTEO"",""PR"",""SUL"""
"6097,""FUEROS"",""PR"",""SUL"""
"6098,""FUNDAO"",""PR"",""SUL"""
"6099,""GAMADINHO"",""PR"",""SUL"""
"6100,""GAMELA"",""PR"",""SUL"""
"6101,""GAUCHA"",""PR"",""SUL"""
"6102,""GAVIAO"",""PR"",""SUL"""
"6103,""GAVIAO"",""PR"",""SUL"""
"6104,""GENERAL CARNEIRO"",""PR"",""SUL"""
"6105,""GENERAL OSORIO"",""PR"",""SUL"""
"6106,""GEREMIA LUNARDELLI"",""PR"",""SUL"""
"6107,""GODOY MOREIRA"",""PR"",""SUL"""
"6108,""GOIOERE"",""PR"",""SUL"""
"6109,""GOIOXIM"",""PR"",""SUL"""
"6110,""GOIS"",""PR"",""SUL"""
"6111,""GONCALVES JUNIOR"",""PR"",""SUL"""
"6112,""GRACIOSA"",""PR"",""SUL"""
"6113,""GRANDES RIOS"",""PR"",""SUL"""
"6114,""GUAIPORA"",""PR"",""SUL"""
"6115,""GUAIRA"",""PR"",""SUL"""
"6118,""GUAIRACA"",""PR"",""SUL"""
"6117,""GUAIRACA"",""PR"",""SUL"""
"6119,""GUAJUVIRA"",""PR"",""SUL"""
"6120,""GUAMIRANGA"",""PR"",""SUL"""
"6121,""GUAMIRIM"",""PR"",""SUL"""
"6122,""GUAPIRAMA"",""PR"",""SUL"""
"6123,""GUAPORE"",""PR"",""SUL"""
"6124,""GUAPOREMA"",""PR"",""SUL"""
"6125,""GUARA"",""PR"",""SUL"""
"6126,""GUARACI"",""PR"",""SUL"""
"6127,""GUARAGI"",""PR"",""SUL"""
"10733,""GUARAI"",""PR"",""SUL"""
"6128,""GUARAITUBA"",""PR"",""SUL"""
"6129,""GUARANI"",""PR"",""SUL"""
"6130,""GUARANIACU"",""PR"",""SUL"""
"6131,""GUARAPUAVA"",""PR"",""SUL"""
"6132,""GUARAPUAVINHA"",""PR"",""SUL"""
"6133,""GUARAQUECABA"",""PR"",""SUL"""
"6134,""GUARAREMA"",""PR"",""SUL"""
"6135,""GUARATUBA"",""PR"",""SUL"""
"6136,""GUARAUNA"",""PR"",""SUL"""
"6137,""GUARAVERA"",""PR"",""SUL"""
"6138,""GUARDAMORIA"",""PR"",""SUL"""
"6139,""HARMONIA"",""PR"",""SUL"""
"6140,""HERCULANDIA"",""PR"",""SUL"""
"6141,""HERVAL GRANDE"",""PR"",""SUL"""
"6142,""HERVEIRA"",""PR"",""SUL"""
"6143,""HERVEIRA"",""PR"",""SUL"""
